source,target,type,weight
IndiaTVSports,ICC,mention,0.5
IndiaTVHindi,BCCI,mention,0.5
IndiaTVHindi,ICC,mention,0.5
ultimominutoOTC,ecb,tweet,1.0
OneCricketApp,im_sandipan,mention,0.5
JDrake45902915,ecb,tweet,1.0
JDrake45902915,EmmanuelMacron,mention,0.5
3Xtraders,ecb,tweet,1.0
ericlemiere,ecb,tweet,1.0
AsianetNewsTL,ecb,tweet,1.0
IanSaph1,ecb,tweet,1.0
IanSaph1,IntnCrimCourt,mention,0.5
IanSaph1,Chaidy,mention,0.5
MianWasem2,ecb,tweet,1.0
Pal_Finance,ecb,tweet,1.0
HansLandman,ecb,tweet,1.0
dellyranksindia,ecb,tweet,1.0
StephenMedlock5,ecb,tweet,1.0
FXstreetReports,ecb,tweet,1.0
VasilisDalianis,ecb,tweet,1.0
owls_4life,ecb,tweet,1.0
vibiznews,ecb,tweet,1.0
ss_seekingalpha,ecb,tweet,1.0
JohnClke,ecb,tweet,1.0
syamkp1,ecb,tweet,1.0
aanpakkuh,ecb,tweet,1.0
aanpakkuh,paulbuitink,mention,0.5
TechToroTH,ecb,tweet,1.0
maxjcm,ecb,tweet,1.0
maxjcm,markets,mention,0.5
ecb,ecb,tweet,1.0
windsorbrokers,ecb,tweet,1.0
Berenberg_Econ,ecb,tweet,1.0
1Holland,ecb,tweet,1.0
1Holland,jpaternotte,mention,0.5
weareinvestiri,ecb,tweet,1.0
RoyPero9,ecb,tweet,1.0
mbentvelsen,ecb,tweet,1.0
Ada4goodP,ecb,tweet,1.0
RoyPero9,PRingholm,mention,0.5
RoyPero9,valley_llama,mention,0.5
Tickmill,ecb,tweet,1.0
PatrickKrizan,ecb,tweet,1.0
zackhoward,ecb,tweet,1.0
GrahamBishopcom,ecb,tweet,1.0
gbponz,ecb,tweet,1.0
gbponz,INArteCarloDoss,mention,0.5
goldenvesttur,ecb,tweet,1.0
P_risks,ecb,tweet,1.0
FugmannMarkus,ecb,tweet,1.0
jtbanka_sk,ecb,tweet,1.0
gunnar_beck,ecb,tweet,1.0
moseisley,ecb,tweet,1.0
moseisley,mdewachter2,mention,0.5
10WallStreet,ecb,tweet,1.0
seyraud,ecb,tweet,1.0
seyraud,pbucquet,mention,0.5
seyraud,Chris_Skinner,mention,0.5
seyraud,jblefevre60,mention,0.5
seyraud,sbmeunier,mention,0.5
kgv10000,ecb,tweet,1.0
kgv10000,DaveHcontrarian,mention,0.5
BirdingBrussels,ecb,tweet,1.0
BirdingBrussels,AuroreLalucq,mention,0.5
AlexandreCibrao,ecb,tweet,1.0
TradewithTR,ecb,tweet,1.0
ljpereza,ecb,tweet,1.0
HedefCapital,ecb,tweet,1.0
HedefCapitaluk,ecb,tweet,1.0
sosyalfx,ecb,tweet,1.0
FXEmpirecom,ecb,tweet,1.0
newstrack_eng,ecb,tweet,1.0
navycapital,ecb,tweet,1.0
navycapital,CMEGroup,mention,0.5
PatriaCZ,ecb,tweet,1.0
STARTRADER_int,ecb,tweet,1.0
KhayaMajola3,ecb,tweet,1.0
BirdingBrussels,EP_Economics,mention,0.5
Jobvandooren,ecb,tweet,1.0
Jobvandooren,Schuldensuehner,mention,0.5
C_Barraud,ecb,tweet,1.0
DogukanSari,ecb,tweet,1.0
Macronextcom,ecb,tweet,1.0
ecb,Europarl_EN,mention,0.5
GertJan64873143,ecb,tweet,1.0
GertJan64873143,ecb,mention,0.5
