username,language,isInfluencer,profession,isBank,isViral,hashtags
UknowCoachSean,en,0,unknown,0,0,"['BOE', 'GRIND', 'TGDS']"
Theanatoliapost,en,0,unknown,0,0,"['Fed', 'JeromePowell', 'ECB', 'BoE', 'ChristineLagarde', 'AndrewBailey', 'resesyon', 'recession']"
federalreserve,0,0,0,0,0,0
ecb,0,0,0,0,0,0
brouwmul,nl,0,unknown,0,0,"['nietzoleukniet', 'boe']"
Videoland,0,0,0,0,0,0
ARPA_Abogados,es,0,unknown,0,0,"['BOE', 'Telecomunicaciones', 'UE', 'comunicaciones']"
Xplashio,en,0,unknown,0,0,"['BOE', 'JonCunliffe', 'CryptoCrash']"
xglobalmarkets,en,0,finance expert,0,0,"['XGlobalMarkets', 'BoE', 'inflation']"
FXStreetnewsae,ar,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'Inflation', 'Currencies']"
Gazzabunger,en,0,unknown,0,0,"['CBDC', 'cashlesssociety', 'cash', 'bankofengland', 'money', 'vouchers', 'cashisking']"
FXStreetnewsae,ar,0,unknown,0,0,"['BOE', 'CentralBanks', 'GBPUSD']"
CMM_UNE,es,0,unknown,0,0,['BOE']
AoodSumrit,th,0,unknown,0,0,"['XAUUSD', 'Gold', 'EURUSD', 'GBPUSD', 'AUDUSD', 'USDJPY', 'ECB', 'BOE', 'FED', 'ECB', 'TraderHouse']"
exnesslatam,es,0,unknown,0,0,"['USD', 'BoE', 'BCE', 'Powell', 'FED', 'PBI']"
marketsday,en,0,unknown,0,0,['BoE']
shr00mer,en,0,unknown,0,0,"['andrewbailey', 'inflation', 'CostOfLivingCrisis', 'bankofengland', 'Bitcoin']"
financialjuice,0,0,0,0,0,0
Pal_Finance,en,0,analyst,0,0,"['Andrew_Bailey', 'GBP', 'BoE', 'Fundamental_Analysis', 'Pal_Fx_News']"
xglobalmarkets,de,0,finance expert,0,0,"['BOE', 'INFLATION', 'ECONOMY', 'RATES']"
stjameschbarnet,en,0,finance expert,0,0,"['history', 'Bank', 'secondaryschool', 'bankofengland', 'museum', 'school', 'schooltrip', 'barnet', 'london']"
boemuseum,0,0,0,0,0,0
noticiasfx,es,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'Inflation', 'Currencies']"
xglobalmarkets,en,0,finance expert,0,0,"['BOE', 'INFLATION', 'ECONOMY', 'RATES']"
goldenvesttur,tr,0,unknown,0,0,"['fed', 'powell', 'faiz', 'enflasyon', 'lagarde', 'ecb', 'boe', 'dolar', 'euro']"
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'Inflation', 'Currencies']"
ovunckutlu,tr,0,unknown,0,0,"['İngiltere', 'BoE', 'Bailey', 'enflasyon']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Fed', 'BOE', 'Inflation', 'Currencies']"
HareshMenghani,0,0,0,0,0,0
windsorbrokers,en,0,finance expert,0,0,"['TechnicalOutlook', 'BankOfEngland', 'UKEconomicGrowth', 'UKEconomy', 'UKInflation', 'WindsorBrokers']"
traderuday4,en,0,unknown,0,0,"['Amazons', 'BoE', 'Crash', 'crypto', 'Cunliffe', 'Deputy', 'future', 'governor', 'Jon', 'Survivors']"
noticiasfx,es,0,unknown,0,0,"['BOE', 'CentralBanks', 'GBPUSD']"
FXStreetNews,en,0,unknown,0,0,"['Fed', 'ECB', 'BOE', 'forex', 'trading']"
FXstreetReports,en,0,unknown,0,0,"['EURUSD', 'GBPUSD', 'Fed', 'ECB', 'BOE']"
andmar261,es,0,unknown,0,0,"['Fed', 'BCE', 'BoE']"
triveyatirim,tr,0,unknown,0,0,"['YouTube', 'Fed', 'ECB', 'BoE', 'TÜFE', 'Büyüme', 'NATO', 'BİST100', 'DolarTL']"
Capital_Hungry,en,0,unknown,0,0,"['News', 'Forex', 'BOE', 'ENGLAND']"
fxstreetcn,vi,0,unknown,0,0,"['BOE', 'CentralBanks', 'GBPUSD']"
fxstreetnewsid,id,0,unknown,0,0,"['BOE', 'CentralBanks', 'GBPUSD']"
FXStreetNews,en,0,unknown,0,0,"['BOE', 'CentralBanks']"
eren_fxstreet,0,0,0,0,0,0
xglobalmarkets,en,0,unknown,0,0,"['BOE', 'BREXIT', 'INFLATION']"
Pal_Finance,en,0,analyst,0,0,"['BoE', 'GBP', 'Fundamental_Analysis', 'Pal_Fx_News']"
classcnbc,it,0,unknown,0,0,"['Bailey', 'BOE', 'inflazione']"
EforFinance,tr,0,unknown,0,0,"['BoE', 'Bailey']"
BritonMarkets,tr,0,unknown,0,0,"['Çarşamba', 'ingiltere', 'BoE', 'faiz', 'enflasyon']"
ReddySalina,en,0,unknown,0,0,"['BOE', 'BREXIT', 'CHANGE', 'UK', 'ECONOMIC', 'STRUCTURE', 'REAL', 'WAGES', 'rmtstrike', 'barristerstrike', 'FuelPrice', 'inflation', 'SupplyChain', 'Indyref2', 'NIProtocolBill']"
davidac35075727,en,0,unknown,0,0,"['USEmpire', 'BIS', 'BankOfEngland', 'FED', 'ECB']"
ikonmenkulnews,tr,0,unknown,0,0,"['BOE', 'IKONNews', 'ECBForum']"
forexanalytix,en,0,analyst,0,0,['BOE']
CeotechI,it,0,unknown,0,0,"['2K', 'AMDRyzen3500U', 'BOE', 'Chuwi', 'ChuwiCoreBookX2022', 'IntelCorei310110U', 'Laptop', 'Review', 'VideoRecensione', 'WiFi6', 'Windows11']"
RealVision,en,0,unknown,0,0,"['BoE', 'ECB', 'FED']"
classcnbc,it,0,unknown,0,0,"['Sintra', 'Bailey', 'BOE', 'Lagarde', 'BCE', 'Powell', 'Fed', 'Carstens', 'BIS']"
GoodReturnsIN,en,0,finance expert,0,0,"['Economy', 'Britain', 'doubledigitinflation', 'recession', 'BoE', 'interestrates']"
Or_fr_,fr,0,unknown,0,0,"['BCE', 'Fed', 'BoE', 'BoJ']"
Crypto__Head,en,0,unknown,0,0,"['Bitcoin', 'FED', 'ECB', 'BOE', 'BIS']"
