username,language,isInfluencer,profession,isBank,isViral,hashtags
BoilerRoomTweet,en,0,unknown,0,0,"['European', 'Bank', 'Holzmann', 'hike', 'inflation', 'cnbc', 'eurozone', 'hyperinflation', 'world', 'centralbanks', 'ecb', 'mkt']"
RichardEgdom,en,0,unknown,0,0,['ECB']
NAYAN130698,da,0,unknown,0,0,"['BCCI', 'ECB', 'ENGvIND', 'ViratKohli𓃵', 'RahulDravid']"
TNNavbharat,hi,0,unknown,0,0,"['ECB', 'England', 'Cricket', 'JosButtler']"
habercoinnet,tr,0,unknown,0,0,"['kriptopara', 'Bitcoin', 'Fed', 'ECB', 'Binance', 'NFT', 'Metaverse', 'Ethereum', 'Cardano', 'Solana']"
StockBondTrader,en,0,unknown,0,0,"['ECB', 'inflation']"
danielgladis,0,0,0,0,0,0
OnPlaygrounds1,bn,0,unknown,0,0,"['BIGBREAKING', 'Cricket', 'EnglandCricketTeam', 'ECB', 'JosButtler']"
IndiaTVSports,en,0,unknown,0,0,"['JosButtler', 'ECB', 'INDvsENG', 'EnglandCricket']"
IndiaTVHindi,hi,0,unknown,0,0,"['JosButtler', 'ECB', 'INDvsENG', 'EnglandCricket']"
InsideSportIND,en,0,unknown,0,0,"['josbuttler', 'jostheboss', 'Captain', 'ECB', 'eionmorgan', 'ICC', 'whiteball', 'englandcricket', 'INSIDESPORT']"
SportzFront,en,0,unknown,0,0,"['englandcricket', 'ECB', 'ThreeLions']"
Kapono_P,en,0,unknown,0,0,"['FED', 'ECB', 'manipulation', 'implosion', 'debt']"
MykhelKannada,kn,0,unknown,0,0,"['Breakingnews', 'Josbuttler', 'Captain', 'England', 'ECB']"
FXStreetnewsae,ar,0,unknown,0,0,"['ECB', 'CentralBanks', 'EURUSD']"
cric_opia,en,0,unknown,0,0,"['josbuttler', 'ENGvIND', 'ECB', 'englandcricket', 'England']"
Goldbroker_com,en,0,politics,0,0,"['Fed', 'ECB', 'politics', 'economy', 'inflation', 'rates', 'recession']"
julienchler,0,0,0,0,0,0
aajdigital,ur,0,unknown,0,0,"['England', 'eoinmorgan', 'ECB']"
scoresnow_in,en,0,unknown,0,0,"['England', 'EnglandCricket', 'ECB', 'ENGvIND', 'JosButtler', 'EoinMorgan', 'ODI', 'T20I', 'T20WorldCup']"
sportsmail24,bn,0,unknown,0,0,"['englandcricket', 'ECB', 'Sportsmail24']"
themahafuzhomeo,en,0,unknown,0,0,"['ENGvIND', 'ECB']"
BCCI,0,0,0,0,0,0
RacoesB,fr,0,unknown,0,0,['ECB']
toisports,en,0,unknown,0,0,"['ECB', 'Buttler', 'Morgan']"
noticiasfx,es,0,unknown,0,0,"['EURUSD', 'Eurozone', 'ECB', 'Banks']"
Ed2199,nl,0,unknown,0,0,"['centjes', 'ECB', 'Rutte4', 'leegtrekken']"
kilomr1000,en,0,finance expert,0,0,"['ECB', 'Fyp']"
biztoc,en,0,finance expert,0,0,"['nasdaq100', 'christinelagarde', 'recession', 'seniormarketanalyst', 'specter', 'europeancentralbank', 'fintwit']"
Forbes_MENA_,en,0,unknown,0,0,"['Economic', 'pandemic', 'Russia', 'Ukraine', 'Inflation', 'Forbes', 'ECB']"
brookinvest,en,0,unknown,0,0,['ECB']
MikeStachurski,en,0,unknown,0,0,"['ecb', 'eurozone', 'wtf']"
FranCanJourno,en,0,unknown,0,0,['ECB']
fxstreetnewsid,id,0,unknown,0,0,"['EURUSD', 'Eurozone', 'ECB', 'Banks']"
fxstreetcn,vi,0,unknown,0,0,"['EURUSD', 'Eurozone', 'ECB', 'Banks']"
FriasPortfolios,en,0,politics,0,0,"['interestrates', 'europeancentralbank', 'eurozone']"
RobinsKaplan,en,0,politics,0,0,"['SpiritAirlines', 'JetBlue', 'Frontier', 'BOE', 'ECB', 'Fed', 'Recession', 'ConsumerSpending', 'PrearrangedTradingPlans', 'Substack']"
Sino_Market,en,0,unknown,0,0,"['ECB', 'EUR', 'bonds']"
LoomisSayles,en,0,unknown,0,0,['ECB']
CUC_05,en,0,finance expert,0,0,"['MarketNews', 'PEPP', 'ECB']"
economyninja,en,0,unknown,0,0,"['Euro', 'ECB', 'Dollar']"
FXStreetNews,en,0,unknown,0,0,"['EURUSD', 'Eurozone', 'ECB', 'Banks']"
BNR,0,0,0,0,0,0
francelenzi,it,0,unknown,0,0,"['PEPP', 'ECB', 'Bundesbank']"
ZeeOdisha,unknown,0,unknown,0,0,"['INDvsENG', 'ECB', 'BCCI']"
24hFinanzFrei,en,0,unknown,0,0,['ECB']
Santiago_JM2021,0,0,0,0,0,0
TheMoonCarl,0,0,0,0,0,0
CryptoJobs,0,0,0,0,0,0
fxstreetcn,vi,0,unknown,0,0,"['ECB', 'CentralBanks', 'EURUSD']"
fxstreetnewsid,id,0,unknown,0,0,"['ECB', 'CentralBanks', 'EURUSD']"
GabPa,en,0,unknown,0,0,['ECB']
PBruynen,nl,0,unknown,0,0,['ECB']
ecb,0,0,0,0,0,0
NBB_BNB_NL,0,0,0,0,0,0
FXStreetNews,en,0,finance expert,0,0,"['ECB', 'CentralBanks']"
eren_fxstreet,0,0,0,0,0,0
