conversation_id,username,tweet_text,tweet_date,retweet_count,like_count,view_count,cash_tags,hashtags,mentionned_users,quoted_tweet,place,vibe,card
231036463825944577,lindayueh,Record low yields during #ECB conf: Czech 2YR 0.74% (due to its CB signal) Dutch 2YR -0.032% Finland 2YR -0.044% 5YR 0.593% UK 2YR 0.033%,2012-08-02 14:39:20+00:00,5,1,,,['ECB'],,,,,
231036390455005185,_p4z_,"Getting a kick out of Bloomberg's Live split screen: the longer Draghi speaks, the more euro plunges #ECB ALL TALK ZERO ACTION",2012-08-02 14:39:02+00:00,0,0,,,['ECB'],,,,,
231036357554884609,Konsultpappan,So - both the #FED and the #ECB just made powerful statements of non-committal for the future. I am impressed.,2012-08-02 14:38:54+00:00,0,0,,,"['FED', 'ECB']",,,,,
231036238218555392,WSJCentralBanks,Our @charlesforelle's take on the #ECB: ‘May’ Buy Bonds: http://t.co/4V8DZH3r,2012-08-02 14:38:26+00:00,0,1,,,['ECB'],"[User(username='charlesforelle', id=334926329, displayname='Charles Forelle', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231036176004423680,erikwesselius,"Great pic! RT @FMR_Brussels: My view from #berlin bureau, you can hear them being cross about #ECB from here #wsjeuro http://t.co/tWiqY9rj",2012-08-02 14:38:11+00:00,0,0,,,"['berlin', 'ECB', 'wsjeuro']","[User(username='FMR_Brussels', id=348977450, displayname='Frances Robinson', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231035596360019968,Rbandick,"#ECB passive, waiting on #EU leader  to deliver, the market disappointment, #Spanish and #Italian yields spiked. Usual day in #Eurozone",2012-08-02 14:35:53+00:00,0,0,,,"['ECB', 'EU', 'Spanish', 'Italian', 'Eurozone']",,,,,
231034899526742018,FundExpertUK,@TeleFinance Plenty of investor action off the back of his comments though. See here: http://t.co/R3I1RgpQ #Draghi #ECB,2012-08-02 14:35:47+00:00,0,0,,,"['Draghi', 'ECB']","[User(username='telefinance', id=704698938918449152, displayname='telefinance', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231035144520220672,SonyKapoor,Communication of EFSF/ESM bond buys &amp; #ECB bill purchases will need 2 forswear seniority &amp; signal an open-ended commitment 2 b succesful!,2012-08-02 14:34:05+00:00,4,0,,,['ECB'],,,,,
231034781159288832,FesBreda,Ik vind de naam Draghi eigenlijk meer passen bij een Roemeense Vampier. #ECB,2012-08-02 14:32:38+00:00,0,0,,,['ECB'],,,,,
231034397745356800,YanniKouts,Has anyone seen that #ECB report on ESM's credit ineligibility?,2012-08-02 14:31:07+00:00,0,3,,,['ECB'],,,,,
231034177947054080,AanchalKaushal,#ECB president’s a Draghi on the market --&gt; http://t.co/3spiYGyW,2012-08-02 14:30:15+00:00,0,0,,,['ECB'],,,,,
231034156694523904,lindayueh,#Spain 10 year bond yield rose above 7% during #ECB news conf as Draghi says that new focus on short-end adds pressure to govts on long-end,2012-08-02 14:30:10+00:00,5,0,,,"['Spain', 'ECB']",,,,,
231034060485574657,Bentonra,"Anyone clarify just what, if anything, Mr #Draghi and #ECB has done about anything this afternoon? *bemused*",2012-08-02 14:29:47+00:00,0,0,,,"['Draghi', 'ECB']",,,,,
231033943934263296,scalptrading,EZB/Draghi lässt die Märkte crashen! http://t.co/ttykOFA5 #ezb #ecb #eurusd #dax #dowjones #boerse #börse #chart #charts,2012-08-02 14:29:19+00:00,0,0,,,"['ezb', 'ecb', 'eurusd', 'dax', 'dowjones', 'boerse', 'börse', 'chart', 'charts']",,,,,
231033875080560640,euromoney,Question: are Greek PSI bonds affected by ECB seniority comment? #Draghi #ECB,2012-08-02 14:29:02+00:00,0,0,,,"['Draghi', 'ECB']",,,,,
231033568279801856,KevinSanker,Summarizing Draghi's Epic Dud | @ZeroHedge http://t.co/H6OyYNh9 #ECB #Draghi #Fed #Europe,2012-08-02 14:27:49+00:00,0,0,,,"['ECB', 'Draghi', 'Fed', 'Europe']","[User(username='zerohedge', id=18856867, displayname='zerohedge', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231033402743218177,TibidyBusiness,Text of #statement by #ECB #President #Mario #Draghi: http://t.co/gQSbe4Qq | #European #conference #FRANKFURT,2012-08-02 14:27:10+00:00,0,0,,,"['statement', 'ECB', 'President', 'Mario', 'Draghi', 'European', 'conference', 'FRANKFURT']",,,,,
231033293645156353,economistmeg,+1 MT @SonyKapoor: #EFSF/#ESM will sign MoU with #Spain &amp; #Italy &amp; buy bonds &amp; #ECB will forswear seniority but only buy bills not bonds!,2012-08-02 14:26:44+00:00,1,0,,,"['EFSF', 'ESM', 'Spain', 'Italy', 'ECB']","[User(username='SonyKapoor', id=73760208, displayname='Sony Kapoor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231033240213929984,FrankStocker,Mario #Draghi: Als Tiger gesprungen und als Bettvorleger gelandet. Dazwischen ein Schuss von der Bundesbank...#ECB #EZB,2012-08-02 14:26:31+00:00,1,0,,,"['Draghi', 'ECB', 'EZB']",,,,,
231032989696532481,FranksView,European equity market show only modest recovery after #ECB deception. Its all about credability and DRAGHI lost it t'day #sell,2012-08-02 14:25:31+00:00,1,0,,,"['ECB', 'sell']",,,,,
231032936961544192,FOREXcom,Expecting something but getting nothing from the Draghi . Read our take on the press conference here: http://t.co/kDTo6ze6 ^KB #ECB,2012-08-02 14:25:19+00:00,0,0,,,['ECB'],,,,,
231032868204343296,MrHolland3,#TBT #ECB #NMP #EastCoastBoys http://t.co/7DwOjL9R,2012-08-02 14:25:04+00:00,0,0,,,"['TBT', 'ECB', 'NMP', 'EastCoastBoys']",,,,,
231032688608440320,Roy_Allen,"Time for #ECB to lay down the law: no floodlights, no tests. #headingley #testcricket @51allout",2012-08-02 14:24:20+00:00,0,0,,,"['ECB', 'headingley', 'testcricket']","[User(username='51allout', id=305764856, displayname='51allout', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231032568789733376,SonyKapoor,Likely - #EFSF/#ESM will sign expansive MoU with #Spain &amp; #Italy &amp; buy bonds &amp; #ECB will forswear seniority but only buy bills not bonds!,2012-08-02 14:23:51+00:00,7,2,,,"['EFSF', 'ESM', 'Spain', 'Italy', 'ECB']",,,,,
231032530646745089,newsfromitaly,#ECB head Draghi's strategy to save the Euro does not convince the markets http://t.co/Tr1Ar7RP #Itl #Italy #news,2012-08-02 14:23:42+00:00,1,0,,,"['ECB', 'Itl', 'Italy', 'news']",,,,,
231032455178637312,pwolodarski,Som väntat med detta icke-beslut stiger spanska räntor raskt igen. #ECB #Error http://t.co/nqWpBpi0,2012-08-02 14:23:24+00:00,0,1,,,"['ECB', 'Error']",,,,,
231032190727778304,FreeMrktCptlst,"but, but, I thought the rally was based on #ECB and #Fed…that was my excuse for it begin fake the whole time $ES_F $$",2012-08-02 14:22:21+00:00,0,0,,['ES_F'],"['ECB', 'Fed']",,,,,
231032175666016256,nikos_twitt_er,"Για άλλη μια φορά απογοήτευσε ο Ντραγκι μεγάλα λόγια κ απο πράξεις μηδέν , σε λίγο θα νοσταλγησουμε τον Τρισε. #draghi #ECB",2012-08-02 14:22:17+00:00,0,0,,,"['draghi', 'ECB']",,,,,
231031961349672963,braiesene,"Draghi: #ECB discussed rate cut, decided now not the time https://t.co/PBSzuvcy",2012-08-02 14:21:26+00:00,0,0,,,['ECB'],,,,,
231031940139085826,TheOppTime,Markets disappointed at lack of immediate #ECB action. http://t.co/RG7CQNQo $EURUSD,2012-08-02 14:21:21+00:00,0,0,,['EURUSD'],['ECB'],,,,,
231031872346533888,JamesGRickards,"Difference in traders &amp; economists is traders are not in a ceteris paribus world. #Fed #ECB news relatively good, but #Knight fears dominate",2012-08-02 14:21:05+00:00,5,2,,,"['Fed', 'ECB', 'Knight']",,,,,
231031816054779904,FMR_Brussels,"My view from #berlin bureau, you can hear them being cross about #ECB from here #wsjeuro http://t.co/C7gAFIxL",2012-08-02 14:20:51+00:00,2,0,,,"['berlin', 'ECB', 'wsjeuro']",,,,,
231031775953055744,pwolodarski,Super Mario finns nog bara i spelvärlden. Och han är definitivt inte tysk. Var beredd på stormig sensommar. #ECB,2012-08-02 14:20:42+00:00,2,0,,,['ECB'],,,,,
231031715857055744,EdisonNews,#Oil above $89 in #Europe after US supply drop; eyes on #ECB chief for signal of action on crisis http://t.co/92yAnZdW,2012-08-02 14:20:28+00:00,0,0,,,"['Oil', 'Europe', 'ECB']",,,,,
231031094420590593,kaxypoptkotsidi,@rebel_70 χαχα! η #ECB προηγείται μια θέση,2012-08-02 14:19:58+00:00,0,0,,,['ECB'],"[User(username='rebel_70', id=2869016315, displayname='Neida Alejandro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231031208946053123,EGentilhomme,"#ECB : alors, on résume. #Draghi a sorti la Grosse Bertha du hangar, mais les munitions sont encore sous clé. Correct ? http://t.co/1Q0KzJFC",2012-08-02 14:18:27+00:00,0,0,,,"['ECB', 'Draghi']",,,,,
231031184149340160,PGMGO,RT @djfxtrader The wrap: #ECB Draghi Hints at Government Bond Buys: Our story: http://t.co/RZtVJfCK,2012-08-02 14:18:21+00:00,0,0,,,['ECB'],"[User(username='djfxtrader', id=2484687133, displayname='djfxtrader', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231031097474052097,SJosephBurns,Once fear is removed the uptrend can find it's groove. #ECB,2012-08-02 14:18:00+00:00,0,1,,,['ECB'],,,,,
231031094420590593,kaxypoptkotsidi,Αυτή τη στιγμή #ECB και #Draghi είναι στα  rising trends της Γερμανίας στο τουήτα,2012-08-02 14:17:59+00:00,0,0,,,"['ECB', 'Draghi']",,,,,
231031079014907905,juliansatt,"Unlimited, unsterilised - the key words from Draghi says Lloyds WBM's Georgolopoulos: http://t.co/u5kdcmcd #ECB",2012-08-02 14:17:56+00:00,0,0,,,['ECB'],,,,,
231031066343919618,VFO81,"what about #Greece? With #ECB #Draghi's assesment on ""seniority issue to be addressed"" the PSI bonds are attractive at these levels",2012-08-02 14:17:53+00:00,0,0,,,"['Greece', 'ECB', 'Draghi']",,,,,
231030859271118848,BeursIndex,#AEX #aandelen #nieuws #ECB houdt rente volgens verwachting ongewijzigd. Toelichting Draghi... http://t.co/zN9nI4AG #beurs  @BeursIndex,2012-08-02 14:17:03+00:00,0,0,,,"['AEX', 'aandelen', 'nieuws', 'ECB', 'beurs']","[User(username='BeursIndex', id=576556389, displayname='Beurs Index', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231030324581240832,JamesGRickards,"Traders complaining #ECB didn't give more ease. OK, but that's a different conversation. At least there's no more nonsense about #Euro split",2012-08-02 14:14:56+00:00,4,0,,,"['ECB', 'Euro']",,,,,
231030221351051264,saa123,RT @saa123: Kind of a #Draghi http://t.co/k4hj0wpT Has the #ECB chief put his foot in mouth when he said he would do 'everything possible'?,2012-08-02 14:14:31+00:00,0,0,,,"['Draghi', 'ECB']","[User(username='saa123', id=14765966, displayname='Alton Cogert', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231030048755425280,WSJCentralBanks,The wrap: #ECB Draghi Hints at Government Bond Buys: Our story: http://t.co/tqMY9uuX,2012-08-02 14:13:50+00:00,0,2,,,['ECB'],,,,,"SummaryCard(title=""Draghi's Plan for Euro Disappoints Investors"", url='http://on.wsj.com/NLgV5V', description='The ECB may soon step in to buy government bonds on the open market and consider other unconventional measures to lower high borrowing costs, President Mario Draghi said, but investors were disappo...', thumbnailUrl=None, siteUser=User(username='WSJ', id=3108351, displayname='The Wall Street Journal', rawDescription='Sign up for our newsletters and alerts: https://t.co/QevH0DLisA | Got a tip? https://t.co/iXIigdOLPr | For WSJ customer support: https://t.co/DZgH9n4vAI', renderedDescription='Sign up for our newsletters and alerts: wsj.com/newsletters | Got a tip? wsj.com/tips | For WSJ customer support: customercenter.wsj.com', descriptionLinks=[TextLink(text='wsj.com/newsletters', url='http://wsj.com/newsletters', tcourl='https://t.co/QevH0DLisA', indices=(40, 63)), TextLink(text='wsj.com/tips', url='http://wsj.com/tips', tcourl='https://t.co/iXIigdOLPr', indices=(77, 100)), TextLink(text='customercenter.wsj.com', url='http://customercenter.wsj.com', tcourl='https://t.co/DZgH9n4vAI', indices=(129, 152))], verified=True, created=datetime.datetime(2007, 4, 1, 6, 22, 13, tzinfo=datetime.timezone.utc), followersCount=20501110, friendsCount=1085, statusesCount=398813, favouritesCount=1138, listedCount=128047, mediaCount=45130, location='New York, NY', protected=False, link=TextLink(text='wsj.com', url='http://wsj.com', tcourl='https://t.co/9rMrYLEXTt', indices=(0, 23)), profileImageUrl='https://pbs.twimg.com/profile_images/971415515754266624/zCX0q9d5_normal.jpg', profileBannerUrl='https://pbs.twimg.com/profile_banners/3108351/1667493390', label=None), creatorUser=None)"
231029985769566208,saxobank,The market is turning away from Spain in a hurry says @petergarnry over on @tradingfloorcom #ECB #Spain #SaxoBank http://t.co/XIPsmKpN,2012-08-02 14:13:36+00:00,1,1,,,"['ECB', 'Spain', 'SaxoBank']","[User(username='petergarnry', id=240666745, displayname='Peter Garnry', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TradingFloorcom', id=20274912, displayname='TradingFloor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231029824553091072,JamesGRickards,"So, markets not happy #Fed &amp; #ECB didn't do ""enough"". But both did something. They're like Energizer Bunnies, keep going. #EaseNotOver",2012-08-02 14:12:57+00:00,1,1,,,"['Fed', 'ECB', 'EaseNotOver']",,,,,
231029464761499649,DenhamSimon,Needless to say today's market wrap from Angus focuses on the #ECB and Mario's mistakes. Wrap here http://t.co/9UEwkwvK,2012-08-02 14:11:31+00:00,0,0,,,['ECB'],,,,,
231015627668721664,jobpet,@martinvisser Had je anders verwacht. Gewoon geld weg blijven smijten.#ECB #euro #voortmodderscenario,2012-08-02 14:11:16+00:00,0,0,,,"['ECB', 'euro', 'voortmodderscenario']","[User(username='martinvisser', id=22011618, displayname='Martin Visser', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,
231029338886254592,bpedeval,#Bailout or bailout that's the question #Spain #ECB #Draghi,2012-08-02 14:11:01+00:00,0,0,,,"['Bailout', 'Spain', 'ECB', 'Draghi']",,,,,
