source,target,type,weight
Nancy38961417,bankofengland,tweet,1.0
FXStreetNews,anilpanchal7,mention,0.5
nigeljgreen,bankofengland,tweet,1.0
obrasinsignia,bankofengland,tweet,1.0
RdeTemas,bankofengland,tweet,1.0
RdeTemas,elEconomistaes,mention,0.5
instrabajoyss,bankofengland,tweet,1.0
mrcollinsfinanz,bankofengland,tweet,1.0
mrcollinsfinanz,insiderlondon,mention,0.5
dishonestmoney,mikecosgrove,mention,0.5
dishonestmoney,teen_executive,mention,0.5
dishonestmoney,MeaningJack,mention,0.5
dishonestmoney,RupalEconomics,mention,0.5
adapt123,bankofengland,tweet,1.0
Objetivo062,bankofengland,tweet,1.0
herransusana,bankofengland,tweet,1.0
47whitebuffalo,bankofengland,tweet,1.0
Geradedenken1,bankofengland,tweet,1.0
readygotraining,bankofengland,tweet,1.0
readygotraining,guardiacivil,mention,0.5
Opositatest,bankofengland,tweet,1.0
cescyl,bankofengland,tweet,1.0
DonasangreCruzR,bankofengland,tweet,1.0
DonasangreCruzR,boegob,mention,0.5
JamesAtLangton,bankofengland,tweet,1.0
SonjaConscious,bankofengland,tweet,1.0
SonjaConscious,RichardJMurphy,mention,0.5
AFME_EU,bankofengland,tweet,1.0
AFME_EU,bankofengland,mention,0.5
AFME_EU,ING_news,mention,0.5
AFME_EU,AntoineBouvet2,mention,0.5
AFME_EU,SocieteGenerale,mention,0.5
AFME_EU,jpmorgan,mention,0.5
Solartys,bankofengland,tweet,1.0
Solartys,boegob,mention,0.5
Solartys,mincoturgob,mention,0.5
InvGurInd,bankofengland,tweet,1.0
BitCheckerLTD,bankofengland,tweet,1.0
BitCheckerLTD,bankofengland,mention,0.5
BitCheckerLTD,nayibbukele,mention,0.5
Afiris,bankofengland,tweet,1.0
BPULtd,bankofengland,tweet,1.0
SeicoAsesores,bankofengland,tweet,1.0
actualidadlegal,bankofengland,tweet,1.0
whitegoldsword,bankofengland,tweet,1.0
Joinedforthis99,bankofengland,tweet,1.0
DeanTweets_,bankofengland,tweet,1.0
Greg5thTrad,bankofengland,tweet,1.0
Evdall,bankofengland,tweet,1.0
Evdall,elmundoes,mention,0.5
ethet09,bankofengland,tweet,1.0
BRAVENEWEUROPE1,bankofengland,tweet,1.0
BRAVENEWEUROPE1,RichardJMurphy,mention,0.5
booa2ch,bankofengland,tweet,1.0
InformateEmpleo,bankofengland,tweet,1.0
abcdesevilla,bankofengland,tweet,1.0
tradingfreaks,bankofengland,tweet,1.0
CanalesTaibilla,bankofengland,tweet,1.0
863_jayy1,bankofengland,tweet,1.0
1humana1,bankofengland,tweet,1.0
1humana1,RMTunion,mention,0.5
bursametrica,bankofengland,tweet,1.0
albforextr,bankofengland,tweet,1.0
UGTPostalAnd,bankofengland,tweet,1.0
UGTPostalAnd,UGT_SPANDALUCIA,mention,0.5
UGTPostalAnd,ATIRADOBLANCO,mention,0.5
UGTPostalAnd,UGT_Andalucia,mention,0.5
UGTPostalAnd,ugtpostal,mention,0.5
UGTPostalAnd,UGT_SP,mention,0.5
politietsorost,bankofengland,tweet,1.0
TurboCBDC,bankofengland,tweet,1.0
SiatSindicato,bankofengland,tweet,1.0
SiatSindicato,boegob,mention,0.5
nunn_hayward,bankofengland,tweet,1.0
monexeurope,bankofengland,tweet,1.0
LaurentGuilbaud,bankofengland,tweet,1.0
alberjv,bankofengland,tweet,1.0
alberjv,SeicoAsesores,mention,0.5
AlbaceteAsaja,bankofengland,tweet,1.0
CecapFormacion,empleo_SEPE,mention,0.5
CSITUP,bankofengland,tweet,1.0
CSITUP,civio,mention,0.5
ctaima,bankofengland,tweet,1.0
asajacr,bankofengland,tweet,1.0
civio,bankofengland,tweet,1.0
YFinansman,bankofengland,tweet,1.0
Jenifer_AG_,bankofengland,tweet,1.0
CainTess,bankofengland,tweet,1.0
EscalasMMA,bankofengland,tweet,1.0
EscalasMMA,CHJucar,mention,0.5
EscalasMMA,mitecogob,mention,0.5
TheGlobalSpring,bankofengland,tweet,1.0
Ablaufregisseur,bankofengland,tweet,1.0
Ablaufregisseur,hannesputzig,mention,0.5
Ablaufregisseur,BestOfEvents1,mention,0.5
Ablaufregisseur,Ablaufregisseur,mention,0.5
RealMiCentral,bankofengland,tweet,1.0
tutordotwriter,bankofengland,tweet,1.0
PhilipH95896047,bankofengland,tweet,1.0
justinmmathews,bankofengland,tweet,1.0
justinmmathews,LiventoG,mention,0.5
elyanovasl,bankofengland,tweet,1.0
BusEconYMO,bankofengland,tweet,1.0
CMichelW,bankofengland,tweet,1.0
btc_pulse_News,bankofengland,tweet,1.0
pmacub8,bankofengland,tweet,1.0
CryptoChampion8,bankofengland,tweet,1.0
ANARUBEN,bankofengland,tweet,1.0
ANARUBEN,PSOE,mention,0.5
ANARUBEN,sanchezcastejon,mention,0.5
Stieffie,bankofengland,tweet,1.0
JG_OpIHE,bankofengland,tweet,1.0
Romain30112747,bankofengland,tweet,1.0
marketscom,bankofengland,tweet,1.0
marketscom,marketsneil,mention,0.5
APE_Cat,bankofengland,tweet,1.0
1humana1,PoliticsJOE_UK,mention,0.5
1humana1,ChristineJameis,mention,0.5
diegopenaluaces,bankofengland,tweet,1.0
diegopenaluaces,desdelamoncloa,mention,0.5
BoyPlungerTrade,bankofengland,tweet,1.0
_amparogarcia_,bankofengland,tweet,1.0
evabelmonte,bankofengland,tweet,1.0
BiGE07748880,bankofengland,tweet,1.0
alexandremirsar,bankofengland,tweet,1.0
PriceVPartners,bankofengland,tweet,1.0
boegob,bankofengland,tweet,1.0
IceGoingSouth,bankofengland,tweet,1.0
sorost110,bankofengland,tweet,1.0
Flowerteaboy,bankofengland,tweet,1.0
8K_Association,bankofengland,tweet,1.0
chuzbucket,bankofengland,tweet,1.0
chuzbucket,NevilleRutter,mention,0.5
chuzbucket,D_LittleproudMP,mention,0.5
chuzbucket,The_Nationals,mention,0.5
InvariantPersp1,bankofengland,tweet,1.0
1humana1,alicegrice,mention,0.5
bagspacker93,bankofengland,tweet,1.0
bagspacker93,YouTube,mention,0.5
Iamtjamellmoore,bankofengland,tweet,1.0
Iamtjamellmoore,LakeGibsonFB,mention,0.5
Iamtjamellmoore,QuintonMooreJr2,mention,0.5
knightfrank,bankofengland,tweet,1.0
Unionbuster,bankofengland,tweet,1.0
joostz,bankofengland,tweet,1.0
Majed_Salawi,bankofengland,tweet,1.0
Paulino_Cuevas,bankofengland,tweet,1.0
GoberEsmeralda1,bankofengland,tweet,1.0
Joshmcgowann,bankofengland,tweet,1.0
1humana1,RMTLondon,mention,0.5
kalkine_uk,bankofengland,tweet,1.0
CollegeGreenGrp,bankofengland,tweet,1.0
nspec2a,bankofengland,tweet,1.0
nspec2a,YardleyShooting,mention,0.5
blackeagleve,bankofengland,tweet,1.0
MaceNewsMacro,bankofengland,tweet,1.0
LakeGibsonFB,bankofengland,tweet,1.0
LakeGibsonFB,KjWilliams__,mention,0.5
whatingleshot,bankofengland,tweet,1.0
whatingleshot,jet2tweets,mention,0.5
whatingleshot,Ryanair,mention,0.5
jonsamuelhood,bankofengland,tweet,1.0
CowingMalcolm,bankofengland,tweet,1.0
sociobits,bankofengland,tweet,1.0
sociobits,bankofengland,mention,0.5
sociobits,eBay,mention,0.5
sociobits,amazon,mention,0.5
ozziesap,bankofengland,tweet,1.0
ozziesap,patrickadownes,mention,0.5
GretoThunberg,bankofengland,tweet,1.0
FXMAG_Espana,bankofengland,tweet,1.0
FXMAG_Espana,OANDA,mention,0.5
bankofengland,rhock1979,mention,0.5
bankofengland,Carlotta678,mention,0.5
bankofengland,paulysfootball,mention,0.5
bankofengland,jayzheather7,mention,0.5
PublicTech,bankofengland,tweet,1.0
Sanso_IS,bankofengland,tweet,1.0
andmupes,bankofengland,tweet,1.0
cescyl,mitmagob,mention,0.5
PhilipW55211098,bankofengland,tweet,1.0
dfmckeever,bankofengland,tweet,1.0
DDBH59,bankofengland,tweet,1.0
ZeljkoMaric73,bankofengland,tweet,1.0
FlowBank_SA,bankofengland,tweet,1.0
newswiresau,bankofengland,tweet,1.0
IQStockMarket,bankofengland,tweet,1.0
ucesha,bankofengland,tweet,1.0
Macronextcom,bankofengland,tweet,1.0
Marketsmojo,bankofengland,tweet,1.0
Alejandro_vegan,bankofengland,tweet,1.0
Alejandro_vegan,iconickevin,mention,0.5
CoinDjinn,bankofengland,tweet,1.0
WinnerBit1,bankofengland,tweet,1.0
SantoshPanditUK,bankofengland,tweet,1.0
coachwilliamsfb,bankofengland,tweet,1.0
pmagn,bankofengland,tweet,1.0
pmagn,ECOWARRIORSS,mention,0.5
pmagn,AP,mention,0.5
FXStreetNews,fx_ross,mention,0.5
RichlyInvest,bankofengland,tweet,1.0
propergranalyst,bankofengland,tweet,1.0
SakAbid,bankofengland,tweet,1.0
Ecoimpulso,bankofengland,tweet,1.0
Ecoimpulso,gonsaenzdemiera,mention,0.5
Ecoimpulso,iberdrola,mention,0.5
BoB2Trader,bankofengland,tweet,1.0
YFarmX,bankofengland,tweet,1.0
YFarmX,Tether_to,mention,0.5
YFarmX,bankofengland,mention,0.5
LliswerryFC,bankofengland,tweet,1.0
LliswerryFC,MABCentral,mention,0.5
vector_ially,bankofengland,tweet,1.0
vector_ially,ladbible,mention,0.5
MastVlas,bankofengland,tweet,1.0
CryptoPatroller,bankofengland,tweet,1.0
WilliamsonChris,bankofengland,tweet,1.0
dishonestmoney,liamubs,mention,0.5
dishonestmoney,HousePriceMania,mention,0.5
RodgersReidy,bankofengland,tweet,1.0
RodgersReidy,bankofengland,mention,0.5
btgga,bankofengland,tweet,1.0
btgga,bankofengland,mention,0.5
DTapiaMedina,bankofengland,tweet,1.0
teknotrendtr,bankofengland,tweet,1.0
MoonShotUK,bankofengland,tweet,1.0
CoinKoda,bankofengland,tweet,1.0
iPhoneMania_jp,bankofengland,tweet,1.0
Share_Talk,bankofengland,tweet,1.0
Share_Talk,bankofengland,mention,0.5
Share_Talk,Share_Talk,mention,0.5
davidarcherNI,bankofengland,tweet,1.0
patrickalmonor1,bankofengland,tweet,1.0
patrickalmonor1,Septen,mention,0.5
patrickalmonor1,Tropicana1963,mention,0.5
sap_trainer,bankofengland,tweet,1.0
sap_trainer,decryptmedia,mention,0.5
LandonVarnes,bankofengland,tweet,1.0
Price_Predict,bankofengland,tweet,1.0
dramitmanohar,bankofengland,tweet,1.0
weiselaqua,bankofengland,tweet,1.0
KenwoodCapital,bankofengland,tweet,1.0
CamaraCantabria,bankofengland,tweet,1.0
SouthbankInvest,bankofengland,tweet,1.0
IndustryTechIn,bankofengland,tweet,1.0
IndustryTechIn,IndustryTechIn,mention,0.5
MaxDrake007,bankofengland,tweet,1.0
sash_jpg,bankofengland,tweet,1.0
sash_jpg,crypto,mention,0.5
yoyodexnews,bankofengland,tweet,1.0
JAthensInst,bankofengland,tweet,1.0
acmg54JFB,bankofengland,tweet,1.0
acmg54JFB,villeagen,mention,0.5
0xCryptoWe,bankofengland,tweet,1.0
andasurplagas,bankofengland,tweet,1.0
bc_bitcoin,bankofengland,tweet,1.0
AB1ackSheep,bankofengland,tweet,1.0
AB1ackSheep,mrtariqmahmood,mention,0.5
AB1ackSheep,pmdfoster,mention,0.5
WTXbusiness,bankofengland,tweet,1.0
CHAccountants,bankofengland,tweet,1.0
euroHCA,bankofengland,tweet,1.0
euroHCA,Yolanda_Diaz_,mention,0.5
CGTNGlobalBiz,bankofengland,tweet,1.0
upasakabala,bankofengland,tweet,1.0
potinejant,bankofengland,tweet,1.0
potinejant,GNEAUPP,mention,0.5
TorFX,bankofengland,tweet,1.0
caloryfrio_web,bankofengland,tweet,1.0
weare_limitless,bankofengland,tweet,1.0
OceanReaLmm,bankofengland,tweet,1.0
Eurosport_DE,bankofengland,tweet,1.0
cidodiba,mapagob,mention,0.5
IntroducerToday,bankofengland,tweet,1.0
RiskBusines,bankofengland,tweet,1.0
RiskBusines,guardian,mention,0.5
UKGoldandSilver,bankofengland,tweet,1.0
CryptoHavadis,bankofengland,tweet,1.0
AshleysAccount5,bankofengland,tweet,1.0
LBBW_Research,bankofengland,tweet,1.0
astuteassets1,bankofengland,tweet,1.0
astuteassets1,Cointelegraph,mention,0.5
accuvise18,bankofengland,tweet,1.0
bsindia,bankofengland,tweet,1.0
crypto__mak,bankofengland,tweet,1.0
mabling,bankofengland,tweet,1.0
andresvilarino,bankofengland,tweet,1.0
Ricovalley88,bankofengland,tweet,1.0
attila2000,bankofengland,tweet,1.0
attila2000,Merkez_Bankasi,mention,0.5
InvezzPortal,bankofengland,tweet,1.0
InvezzPortal,AzadZangana,mention,0.5
CityIndex,bankofengland,tweet,1.0
JoeP_FOREXcom,bankofengland,tweet,1.0
Bitbookkeepers,bankofengland,tweet,1.0
BoilerRoomTweet,bankofengland,tweet,1.0
TRILLIONCAP,bankofengland,tweet,1.0
steveclarketv,bankofengland,tweet,1.0
steveclarketv,PolemicTMM,mention,0.5
dumbwire,bankofengland,tweet,1.0
roryevs2,bankofengland,tweet,1.0
RumiNewsrevista,bankofengland,tweet,1.0
RumiNewsrevista,mapagob,mention,0.5
IGItalia,bankofengland,tweet,1.0
TheFortuneTell5,bankofengland,tweet,1.0
CityAM,bankofengland,tweet,1.0
CityAM,__JackBarnett,mention,0.5
BlogNT,bankofengland,tweet,1.0
BlogNT,BlogNT,mention,0.5
KhosiRakoti,bankofengland,tweet,1.0
FXstreetReports,abhishekifa,mention,0.5
rjwaterstreet,bankofengland,tweet,1.0
gujratsamachar,bankofengland,tweet,1.0
mandagolathur,bankofengland,tweet,1.0
IGBank,bankofengland,tweet,1.0
ETBFSI,bankofengland,tweet,1.0
SR_Wealth,bankofengland,tweet,1.0
prensasocialps,bankofengland,tweet,1.0
Law_PlainSimple,bankofengland,tweet,1.0
TIMGOLDFINCH,bankofengland,tweet,1.0
TIMGOLDFINCH,buckingfankers,mention,0.5
TIMGOLDFINCH,DMcWilliams_UK,mention,0.5
