source,target,type,weight
bankofengland,Rickyp_04,mention,0.5
bankofengland,NSPCC,mention,0.5
bankofengland,Shelter,mention,0.5
bankofengland,hines_stephen,mention,0.5
bankofengland,technologypoet,mention,0.5
bankofengland,asiahodl,mention,0.5
bankofengland,Lynne_Murray007,mention,0.5
bankofengland,steveprioruk,mention,0.5
bankofengland,MaierViv,mention,0.5
bankofengland,50sBornWomen,mention,0.5
bankofengland,boldonlad,mention,0.5
bankofengland,officialnucky,mention,0.5
bankofengland,ResistNewNormal,mention,0.5
bankofengland,Jangowaterfall,mention,0.5
bankofengland,federalreserve,mention,0.5
bankofengland,yourboysly,mention,0.5
bankofengland,rbentley023,mention,0.5
bankofengland,labourchaos1,mention,0.5
bankofengland,TimWardCam,mention,0.5
bankofengland,The_Macula,mention,0.5
bankofengland,Valuable500,mention,0.5
bankofengland,999bradders,mention,0.5
bankofengland,bristolideas,mention,0.5
bankofengland,NedjarHadjira,mention,0.5
bankofengland,oeysterpearl,mention,0.5
bankofengland,muckleton,mention,0.5
bankofengland,AgreeT0D1sagree,mention,0.5
bankofengland,jonathanmaguia,mention,0.5
bankofengland,Redchick69,mention,0.5
bankofengland,BeanoOfficial,mention,0.5
bankofengland,MasonMagoo,mention,0.5
bankofengland,jamesjopling,mention,0.5
bankofengland,BHFScotland,mention,0.5
bankofengland,ACOSVO,mention,0.5
bankofengland,GoacherLouis,mention,0.5
bankofengland,netherthirddcc,mention,0.5
bankofengland,UnitedKingdomo5,mention,0.5
bankofengland,RDChoirgirl,mention,0.5
bankofengland,BBCOne,mention,0.5
bankofengland,DomLittlewood,mention,0.5
bankofengland,targetjobsUK,mention,0.5
bankofengland,ciare29,mention,0.5
bankofengland,MIT,mention,0.5
bankofengland,leehoward708,mention,0.5
bankofengland,togetherwomen,mention,0.5
bankofengland,xxjessicanxx,mention,0.5
bankofengland,TheBanker,mention,0.5
bankofengland,OttoOsirian,mention,0.5
bankofengland,chris_butland,mention,0.5
bankofengland,BoENIreland,mention,0.5
bankofengland,amranmo83801024,mention,0.5
bankofengland,mikkikezmar,mention,0.5
bankofengland,Dovydas97468098,mention,0.5
bankofengland,womenreturners,mention,0.5
bankofengland,AtBloke,mention,0.5
bankofengland,nigelrumble,mention,0.5
bankofengland,GiveBradford,mention,0.5
bankofengland,network_race,mention,0.5
bankofengland,beaccommunity,mention,0.5
bankofengland,kawacc_keighley,mention,0.5
bankofengland,TheValleyProje1,mention,0.5
bankofengland,foodbankBD,mention,0.5
bankofengland,COP26,mention,0.5
bankofengland,bancaditalia,mention,0.5
bankofengland,nick66g,mention,0.5
bankofengland,evelyncolleen,mention,0.5
bankofengland,Blondedee30,mention,0.5
bankofengland,LlamaLorna,mention,0.5
bankofengland,TheOasisCurator,mention,0.5
bankofengland,5180KayVee,mention,0.5
bankofengland,GG2Diversity,mention,0.5
bankofengland,BoESouthWest,mention,0.5
bankofengland,PotholeOpinion,mention,0.5
bankofengland,JohnDic12856102,mention,0.5
bankofengland,kennysmeaton,mention,0.5
bankofengland,i_am_gizmo_uk,mention,0.5
bankofengland,sparkle1973,mention,0.5
bankofengland,baysieblue,mention,0.5
bankofengland,SatoshiNotamo,mention,0.5
bankofengland,Popsicl46385504,mention,0.5
bankofengland,SASchofield52,mention,0.5
bankofengland,CryptoIreland3,mention,0.5
bankofengland,George_Nixon97,mention,0.5
bankofengland,englishwanted,mention,0.5
bankofengland,LuekeChristine,mention,0.5
bankofengland,AmateurInvest15,mention,0.5
bankofengland,CoryBeck19,mention,0.5
bankofengland,SpinkandSon,mention,0.5
bankofengland,aktcharity,mention,0.5
bankofengland,anirudh123,mention,0.5
bankofengland,NGFS_,mention,0.5
bankofengland,koshgupta,mention,0.5
bankofengland,guywalters,mention,0.5
bankofengland,CFTyneWearNland,mention,0.5
bankofengland,NERSRefugee,mention,0.5
bankofengland,HextolCharity,mention,0.5
bankofengland,NEYouth_,mention,0.5
bankofengland,BackontheMapLtd,mention,0.5
bankofengland,BIS_org,mention,0.5
bankofengland,SIFForum,mention,0.5
bankofengland,TrumptonR,mention,0.5
bankofengland,angelakw76,mention,0.5
bankofengland,dis_politics,mention,0.5
bankofengland,Mike8819uk,mention,0.5
bankofengland,kirah_ldn,mention,0.5
bankofengland,Leeboi365,mention,0.5
bankofengland,KhaiSohaib,mention,0.5
bankofengland,moomarketing1,mention,0.5
bankofengland,HoistForex,mention,0.5
bankofengland,nazgar001,mention,0.5
bankofengland,Sh3lby118,mention,0.5
bankofengland,sn1428,mention,0.5
bankofengland,DoubleUSee,mention,0.5
bankofengland,JonWilsonAuthor,mention,0.5
bankofengland,EBS_GWC,mention,0.5
bankofengland,hbarrow1,mention,0.5
bankofengland,Steve59810455,mention,0.5
bankofengland,Matty_EstUK,mention,0.5
bankofengland,beltalowda89,mention,0.5
bankofengland,bletchleypark,mention,0.5
bankofengland,cfcityweek,mention,0.5
bankofengland,daisyeye1,mention,0.5
bankofengland,yasheshb,mention,0.5
bankofengland,LSEnews,mention,0.5
bankofengland,cdf1530,mention,0.5
bankofengland,FXMC1957,mention,0.5
bankofengland,carersweek,mention,0.5
bankofengland,CarersUK,mention,0.5
bankofengland,NPL,mention,0.5
bankofengland,BoEWestMids,mention,0.5
bankofengland,metoffice,mention,0.5
bankofengland,hollycorner,mention,0.5
bankofengland,odministrator,mention,0.5
bankofengland,vpharm,mention,0.5
bankofengland,NPGLondon,mention,0.5
bankofengland,catherin_naylor,mention,0.5
bankofengland,Jamil1818,mention,0.5
bankofengland,LiamPeterTemple,mention,0.5
bankofengland,thetimes,mention,0.5
bankofengland,phil_grubb,mention,0.5
bankofengland,BlakeFox7,mention,0.5
bankofengland,Alami94,mention,0.5
bankofengland,urssaRMR,mention,0.5
bankofengland,BoEEastMids,mention,0.5
bankofengland,Tanni_GT,mention,0.5
bankofengland,ParalympicsGB,mention,0.5
bankofengland,AdukhaMorris,mention,0.5
bankofengland,Boopis_Capital,mention,0.5
bankofengland,XrpBart,mention,0.5
bankofengland,EAjekiigbe,mention,0.5
bankofengland,Tom_Hingston,mention,0.5
bankofengland,iijagne,mention,0.5
bankofengland,WomeninPayments,mention,0.5
bankofengland,DrDRHamilton,mention,0.5
bankofengland,zebulon_,mention,0.5
bankofengland,AlternateSciFi,mention,0.5
bankofengland,TigerZindaHay,mention,0.5
bankofengland,ariasmaid,mention,0.5
bankofengland,gbexfal,mention,0.5
bankofengland,GCHQ,mention,0.5
bankofengland,tes,mention,0.5
bankofengland,WrightLinkLtd,mention,0.5
bankofengland,InnFin,mention,0.5
bankofengland,toomeys,mention,0.5
bankofengland,Briesias,mention,0.5
bankofengland,payslippennies,mention,0.5
bankofengland,Allchanges,mention,0.5
bankofengland,simon_j5,mention,0.5
bankofengland,TwistedTwittah,mention,0.5
bankofengland,0zzieBattler,mention,0.5
bankofengland,PeterLattimer,mention,0.5
bankofengland,newsscape,mention,0.5
bankofengland,LouisThomasYT,mention,0.5
bankofengland,hyunjinki14,mention,0.5
bankofengland,Timewise_UK,mention,0.5
bankofengland,stephenfry,mention,0.5
bankofengland,SLSingh,mention,0.5
bankofengland,JezzCIA,mention,0.5
bankofengland,jaymc2238,mention,0.5
bankofengland,BarclaysUKHelp,mention,0.5
bankofengland,ElenaKale,mention,0.5
bankofengland,ArthurAdams,mention,0.5
bankofengland,madebyburton,mention,0.5
bankofengland,HockSam,mention,0.5
bankofengland,MustappaSirat,mention,0.5
bankofengland,truegood2btrue,mention,0.5
bankofengland,BoESouthEast,mention,0.5
bankofengland,Riche1964,mention,0.5
bankofengland,harrisonkt_,mention,0.5
bankofengland,CO3updates,mention,0.5
bankofengland,ollie_pitcher,mention,0.5
bankofengland,ProfCaryCooper,mention,0.5
bankofengland,techcharterUK,mention,0.5
bankofengland,Unilever,mention,0.5
bankofengland,mcnicollme,mention,0.5
bankofengland,eF2YUQfOAqUo65Z,mention,0.5
bankofengland,BagelBarton,mention,0.5
bankofengland,WiltsCF,mention,0.5
bankofengland,reddwarf4ever,mention,0.5
bankofengland,jiminey56386668,mention,0.5
bankofengland,rangerskyle72,mention,0.5
bankofengland,Ammyanny3,mention,0.5
bankofengland,CareermapNews,mention,0.5
bankofengland,Theohaywood8,mention,0.5
bankofengland,biraofficial,mention,0.5
bankofengland,NBCS_Tweet,mention,0.5
bankofengland,lordstern1,mention,0.5
bankofengland,JFKaddict,mention,0.5
bankofengland,abutari40704181,mention,0.5
bankofengland,BoEWales,mention,0.5
bankofengland,MarkFreemanML,mention,0.5
bankofengland,anotherfineday,mention,0.5
bankofengland,PancreaticCanUK,mention,0.5
bankofengland,YoungMindsUK,mention,0.5
bankofengland,Courtnxyyolivia,mention,0.5
bankofengland,Sayedsaifindia,mention,0.5
bankofengland,Ally1889,mention,0.5
bankofengland,hinds_sarah,mention,0.5
bankofengland,LaithKhalaf1,mention,0.5
bankofengland,patrickarobey,mention,0.5
bankofengland,youvsyoultd,mention,0.5
bankofengland,ljpteacher,mention,0.5
bankofengland,DisabilitySmart,mention,0.5
bankofengland,ReedSmithD_I,mention,0.5
bankofengland,banquedefrance,mention,0.5
bankofengland,liliana_vvarela,mention,0.5
bankofengland,AnthonyLeeZhang,mention,0.5
bankofengland,SalihFendoglu,mention,0.5
bankofengland,fdhassan,mention,0.5
bankofengland,Haonan_Zhou,mention,0.5
bankofengland,LLRFoundation,mention,0.5
bankofengland,Econ_Foundation,mention,0.5
bankofengland,NdKsF93pX7IQZti,mention,0.5
bankofengland,bycLIVE,mention,0.5
bankofengland,CAPuk,mention,0.5
bankofengland,itsdaeji,mention,0.5
bankofengland,JoeyLDN,mention,0.5
bankofengland,ben_moll,mention,0.5
bankofengland,mcmahonecon,mention,0.5
bankofengland,nd_econ,mention,0.5
